Title,,Artist,,Genre,,Subgenre,,Out for the Day,On my Wall,Cubby,Genre,Count,,,,
Uncle Charlie & His Dog Teddy,,Nitty Gritty Dirt Band,,Bluegrass,,,,,,1,Bluegrass,2,No Records Found,,,
Then and Now,,"Watson, Doc & Merle ",,Bluegrass,,,,,,1,Classical,18,,,,
Grand Canyon Suite,," Grofé, Ferde and  Copland, Aaron",,Classical,,Modern,,,,1,Comedy,6,,,,
Nine Symphonies of Beethoven,,Beethoven,,Classical,,Romantic,,,,1,Country,8,,,,
Symphony No. 104 in D Major & Symphone No. 82 in C Major,,Haydn,,Classical,,Classical,,,,1,Dance,2,,,,
Tschaikovsky Violin Concerto,,"Heifetz, Jascha",,Classical,,Romantic,,,,1,Disco,1,,,,
Planets,,"Holst, Gustav ",,Classical,,Modern,,,,1,Electronic,1,,,,
Basic Recordings for the Enjoyment of Music,,"Machlis, Joseph ",,Classical,,,,,,1,Folk,16,,,,
Supplementary Recordings for the Enjoyment of Music,,"Machlis, Joseph ",,Classical,,,,,,1,Funk,2,,,,
World's Most Versatile Trumpeter,,"Mendez, Rafael ",,Classical,,,,,,1,Hip-Hop,2,,,,
"Orchestral, Tubular Bells, The",,"Oldfield, Mike",,Classical,,,,,,1,Holiday,2,,,,
"Pines of Rome, Fountains of Rome",,"Respighi, Ottorino",,Classical,,Modern,,,,1,Jazz,150,,,,
"Saturday Brass Quintet Performs Works by Rossini, Suppé, Gershwin, and East",,Saturday Brass Quintet,,Classical,,,,,,1,Metal,4,,,,
My Favorite Places,,"Scharf, Walter ",,Classical,,,,,,1,New Age,2,,,,
Greatest Waltzes,,"Strauss, Johann and Joseph ",,Classical,,,,,,1,Novelty,3,,,,
1812,,Tchaikovsky,,Classical,,Romantic,,,,1,Pop,7,,,,
Boleros De Amor,,Various,,Classical,,,,,,1,Punk,1,,,,
Stars for a Summer Night,,Various,,Classical,,,,,,1,RnB,1,,,,
Tribute to Arturo Toscanini: The Orchestra That Refused to Die,,Various,,Classical,,,,,,1,Rock,65,,,,
Worlds Greatest Waltzes,,Various,,Classical,,,,,,1,,,,,,
Inside,,"Berman, Shelley ",,Comedy,,,,,,1,,,,,,
Stan Freberg Presents The United States of America,,"Freberg, Stan ",,Comedy,,,,,,1,,,,,,
United States of America,,"Freberg, Stan ",,Comedy,,,,,,1,,,,,,
A Way of Life,,"Sahl, Mort ",,Comedy,,,,,,1,,,,,,
At the Hungry i,,"Sahl, Mort ",,Comedy,,,,,,1,,,,,,
"""Go Make Friends""",,"Sherin, Ukie ",,Comedy,,,,,,1,,,,,,
Living Legend of Eddy Arnold,,"Arnold, Eddy",,Country,,,,,,1,,,,,,
Twenty-Four Great Songs,,Copas & Hawkshaw,,Country,,,,,,1,,,,,,
Amazing Grace,,"Ford, Tennessee Ernie",,Country,,,,,,1,,,,,,
Last Safe Place,,LeRoux,,Country,,,,,,1,,,,,,
Sings Great Sacred Songs,,"Smith, Connie",,Country,,,,,,1,,,,,,
This Broken Heart of Mine,,"Thompson, Hank",,Country,,,,,,1,,,,,,
Mel Tillis and Friends,,"Tillis, Mel",,Country,,,,,,1,,,,,,
Twenty-Four Country Gospel Greats Vol. 1,,Various,,Country,,,,,,1,,,,,,
Don't Stop the Rock ,,Freestyle,,Dance,,,,,,1,,,,,,
Red Sky,,Moon Hooch,,Dance,,,,,,1,,,,,,
Sgt. Peppers Lonely Hearts Club Band,,Bee Gees,,Disco,,,,,,1,,,,,,
I'll Be Stronger,,Cubic U,,Electronic,,,,,,1,,,,,,
Any Day Now,,"Baez, Joan",,Folk,,,,,,1,,,,,,
Cardinal Class,,Bluegrass Cardinals,,Folk,,,,,,1,,,,,,
"Crosby, Stills & Nash",,"Crosby, Stills & Nash",,Folk,,,,,,1,,,,,,
Rocky Mountain High,,"Denver, John ",,Folk,,,,,,1,,,,,,
Hurdy Gurdy Man,,Donovan,,Folk,,,,,,1,,,,,,
Sunshine Superman,,Donovan,,Folk,,,,,,1,,,,,,
Band,,"Dylan, Bob ",,Folk,,,,,,1,,,,,,
Greatest Hits Volume II,,"Dylan, Bob ",,Folk,,,,,,1,,,,,,
Greatest Hits,,"Fogelberg, Dan ",,Folk,,,,,,1,,,,,,
Phoenix,,"Fogelberg, Dan ",,Folk,,,,,,1,,,,,,
Charlie My Boy!,,"McCoy, Charlie",,Folk,,,,,,1,,,,,,
Guantanamera,,Sandpipers,,Folk,,,,,,1,,,,,,
Folk Swingin' Harpsichord with 12 String Guitar,,Sidewalk Swingers,,Folk,,,,,,1,,,,,,
Concert in Central Park,,Simon and Garfunkel,,Folk,,,,,,1,,,,,,
Music Book K-8,,Various,,Folk,,,,,,1,,,,,,
Münchener Freiheit,,Von Anthony An,,Folk,,,,,,1,,,,,,
Hox,,Black Market Brass,,Funk,,,,,,1,,,,,,
We're an American Band,,Grand Funk,,Funk,,,,,,1,,,,,,
License to Ill,,Beastie Boys,,Hip-Hop,,,,,,1,,,,,,
Dedicated,,Funkdoobiest,,Hip-Hop,,,,,,1,,,,,,
"""The Night Before Christmas""",,Norman Luboff Choir,,Holiday,,,,,,1,,,,,,
A Charlie Brown ,,Vince Guaraldi Trio,,Holiday,,,,,,1,,,,,,
Doctor Jazz,," Collie, Max's Rhythm Aces",,Jazz,,,,,,1,,,,,,
"Light, Bluesy, and Moody",,"Ammons, Gene",,Jazz,,,,,,1,,,,,,
Dance Break,,"Arcaraz, Luis",,Jazz,,,,,,1,,,,,,
Good Enough to Keep,,"Auld, Georgie",,Jazz,,,,,,1,,,,,,
A Tribute to Harry James,,"Barnet, Charlie",,Jazz,,,,,,1,,,,,,
Dance Bash,,"Barnet, Charlie",,Jazz,,,,,,1,,,,,,
"""Now""!",,Barrelhouse Jazzband,,Jazz,,,,,,1,,,,,,
The Great Dance Bands of the '30s and '40s,,"Berigan, Benny",,Jazz,,,,,,1,,,,,,
Golden Piano Hits,,Big Tiny Little,,Jazz,,,,,,1,,,,,,
Mr New Orleaans meets Mr. Honky Tonk,,Big Tiny Little & Pete Fountain,,Jazz,,,,,,1,,,,,,
Solid and Raunchy,,"Black, Bill",,Jazz,,,,,,1,,,,,,
Lullabies,,"Brubeck, Dave ",,Jazz,,,,,,2,,,,,,
Southern Scene,,"Brubeck, Dave ",,Jazz,,,,,,2,,,,,,
Time Out,,"Brubeck, Dave ",,Jazz,,,,,,2,,,,,,
Plays Brubeck,,"Brubreck, Dave",,Jazz,,,,,,2,,,,,,
Little Band Big Jazz,,"Candoli, Conte, Buddy Collette, Vince Guaraldi, Leroy Vinnegar, Stan Levey",,Jazz,,,,,,2,,,,,,
